time,theta1,theta2,lensX,lensY
0.000000,0.000000,5.000000,-3.535534,-3.535534
0.001000,0.000000,4.999940,-3.535492,-3.535492
0.002000,0.000000,4.999761,-3.535365,-3.535365
0.003000,0.000001,4.999462,-3.535154,-3.535153
0.004000,0.000002,4.999044,-3.534859,-3.534857
0.005000,0.000003,4.998506,-3.534480,-3.534476
0.006000,0.000004,4.997849,-3.534016,-3.534010
0.007000,0.000006,4.997072,-3.533468,-3.533460
0.008000,0.000007,4.996176,-3.532835,-3.532825
0.009000,0.000009,4.995161,-3.532119,-3.532105
0.010000,0.000012,4.994026,-3.531318,-3.531301
0.011000,0.000014,4.992772,-3.530433,-3.530413
0.012000,0.000017,4.991398,-3.529463,-3.529440
0.013000,0.000020,4.989905,-3.528410,-3.528382
0.014000,0.000023,4.988293,-3.527272,-3.527240
0.015000,0.000026,4.986562,-3.526050,-3.526013
0.016000,0.000030,4.984711,-3.524744,-3.524702
0.017000,0.000033,4.982741,-3.523354,-3.523307
0.018000,0.000038,4.980653,-3.521880,-3.521827
0.019000,0.000042,4.978445,-3.520322,-3.520262
0.020000,0.000046,4.976118,-3.518679,-3.518614
0.021000,0.000051,4.973672,-3.516953,-3.516881
0.022000,0.000056,4.971107,-3.515143,-3.515064
0.023000,0.000061,4.968424,-3.513250,-3.513163
0.024000,0.000067,4.965622,-3.511272,-3.511178
0.025000,0.000072,4.962701,-3.509211,-3.509108
0.026000,0.000078,4.959661,-3.507065,-3.506955
0.027000,0.000084,4.956503,-3.504837,-3.504717
0.028000,0.000091,4.953227,-3.502524,-3.502396
0.029000,0.000097,4.949832,-3.500128,-3.499991
0.030000,0.000104,4.946319,-3.497649,-3.497502
0.031000,0.000111,4.942687,-3.495086,-3.494929
0.032000,0.000118,4.938938,-3.492440,-3.492273
0.033000,0.000126,4.935070,-3.489710,-3.489533
0.034000,0.000133,4.931084,-3.486898,-3.486709
0.035000,0.000141,4.926981,-3.484002,-3.483802
0.036000,0.000149,4.922760,-3.481022,-3.480811
0.037000,0.000158,4.918421,-3.477960,-3.477737
0.038000,0.000166,4.913964,-3.474815,-3.474580
0.039000,0.000175,4.909391,-3.471587,-3.471339
0.040000,0.000184,4.904699,-3.468277,-3.468016
0.041000,0.000194,4.899891,-3.464883,-3.464609
0.042000,0.000203,4.894965,-3.461407,-3.461120
0.043000,0.000213,4.889923,-3.457848,-3.457547
0.044000,0.000223,4.884763,-3.454207,-3.453892
0.045000,0.000233,4.879487,-3.450483,-3.450154
0.046000,0.000243,4.874095,-3.446677,-3.446333
0.047000,0.000254,4.868585,-3.442789,-3.442430
0.048000,0.000265,4.862960,-3.438819,-3.438445
0.049000,0.000276,4.857218,-3.434767,-3.434377
0.050000,0.000287,4.851360,-3.430632,-3.430226
0.051000,0.000298,4.845386,-3.426416,-3.425994
0.052000,0.000310,4.839296,-3.422118,-3.421680
0.053000,0.000322,4.833091,-3.417739,-3.417283
0.054000,0.000334,4.826770,-3.413278,-3.412805
0.055000,0.000347,4.820333,-3.408736,-3.408245
0.056000,0.000359,4.813782,-3.404112,-3.403604
0.057000,0.000372,4.807115,-3.399407,-3.398881
0.058000,0.000385,4.800334,-3.394621,-3.394077
0.059000,0.000398,4.793438,-3.389754,-3.389191
0.060000,0.000411,4.786427,-3.384806,-3.384224
0.061000,0.000425,4.779302,-3.379777,-3.379176
0.062000,0.000439,4.772062,-3.374668,-3.374047
0.063000,0.000453,4.764709,-3.369478,-3.368838
0.064000,0.000467,4.757242,-3.364208,-3.363548
0.065000,0.000482,4.749661,-3.358858,-3.358177
0.066000,0.000496,4.741966,-3.353427,-3.352725
0.067000,0.000511,4.734158,-3.347917,-3.347194
0.068000,0.000526,4.726237,-3.342327,-3.341582
0.069000,0.000542,4.718203,-3.336656,-3.335891
0.070000,0.000557,4.710056,-3.330907,-3.330119
0.071000,0.000573,4.701797,-3.325078,-3.324268
0.072000,0.000589,4.693425,-3.319169,-3.318337
0.073000,0.000605,4.684941,-3.313182,-3.312326
0.074000,0.000621,4.676346,-3.307115,-3.306236
0.075000,0.000638,4.667638,-3.300969,-3.300068
0.076000,0.000654,4.658819,-3.294745,-3.293820
0.077000,0.000671,4.649888,-3.288442,-3.287493
0.078000,0.000688,4.640846,-3.282061,-3.281087
0.079000,0.000706,4.631694,-3.275601,-3.274603
0.080000,0.000723,4.622431,-3.269063,-3.268041
0.081000,0.000741,4.613057,-3.262448,-3.261400
0.082000,0.000759,4.603573,-3.255754,-3.254681
0.083000,0.000777,4.593979,-3.248983,-3.247884
0.084000,0.000795,4.584275,-3.242134,-3.241009
0.085000,0.000814,4.574461,-3.235208,-3.234057
0.086000,0.000832,4.564538,-3.228205,-3.227027
0.087000,0.000851,4.554507,-3.221124,-3.219920
0.088000,0.000870,4.544366,-3.213967,-3.212736
0.089000,0.000890,4.534116,-3.206734,-3.205475
0.090000,0.000909,4.523759,-3.199423,-3.198138
0.091000,0.000929,4.513293,-3.192037,-3.190723
0.092000,0.000949,4.502719,-3.184574,-3.183232
0.093000,0.000969,4.492038,-3.177035,-3.175665
0.094000,0.000989,4.481249,-3.169421,-3.168022
0.095000,0.001009,4.470353,-3.161731,-3.160303
0.096000,0.001030,4.459350,-3.153965,-3.152509
0.097000,0.001050,4.448241,-3.146124,-3.144639
0.098000,0.001071,4.437026,-3.138208,-3.136693
0.099000,0.001093,4.425704,-3.130218,-3.128673
0.100000,0.001114,4.414277,-3.122152,-3.120577
0.101000,0.001135,4.402744,-3.114013,-3.112407
0.102000,0.001157,4.391105,-3.105799,-3.104162
0.103000,0.001179,4.379362,-3.097510,-3.095843
0.104000,0.001201,4.367515,-3.089148,-3.087450
0.105000,0.001223,4.355562,-3.080712,-3.078983
0.106000,0.001245,4.343506,-3.072203,-3.070442
0.107000,0.001268,4.331346,-3.063621,-3.061828
0.108000,0.001290,4.319083,-3.054965,-3.053140
0.109000,0.001313,4.306716,-3.046236,-3.044379
0.110000,0.001336,4.294246,-3.037435,-3.035546
0.111000,0.001359,4.281674,-3.028562,-3.026639
0.112000,0.001383,4.268999,-3.019616,-3.017660
0.113000,0.001406,4.256222,-3.010598,-3.008609
0.114000,0.001430,4.243343,-3.001508,-2.999486
0.115000,0.001454,4.230364,-2.992347,-2.990291
0.116000,0.001478,4.217283,-2.983114,-2.981024
0.117000,0.001502,4.204101,-2.973810,-2.971686
0.118000,0.001526,4.190818,-2.964435,-2.962277
0.119000,0.001551,4.177436,-2.954990,-2.952797
0.120000,0.001575,4.163954,-2.945474,-2.943246
0.121000,0.001600,4.150372,-2.935888,-2.933624
0.122000,0.001625,4.136691,-2.926231,-2.923933
0.123000,0.001650,4.122911,-2.916505,-2.914171
0.124000,0.001676,4.109032,-2.906709,-2.904340
0.125000,0.001701,4.095056,-2.896844,-2.894439
0.126000,0.001726,4.080981,-2.886910,-2.884469
0.127000,0.001752,4.066809,-2.876907,-2.874429
0.128000,0.001778,4.052540,-2.866836,-2.864321
0.129000,0.001804,4.038174,-2.856696,-2.854144
0.130000,0.001830,4.023711,-2.846487,-2.843899
0.131000,0.001856,4.009152,-2.836211,-2.833586
0.132000,0.001883,3.994497,-2.825868,-2.823205
0.133000,0.001909,3.979747,-2.815456,-2.812756
0.134000,0.001936,3.964902,-2.804978,-2.802240
0.135000,0.001963,3.949962,-2.794433,-2.791657
0.136000,0.001990,3.934927,-2.783821,-2.781007
0.137000,0.002017,3.919799,-2.773143,-2.770290
0.138000,0.002044,3.904577,-2.762398,-2.759507
0.139000,0.002072,3.889261,-2.751588,-2.748658
0.140000,0.002099,3.873853,-2.740712,-2.737743
0.141000,0.002127,3.858352,-2.729771,-2.726763
0.142000,0.002155,3.842759,-2.718764,-2.715717
0.143000,0.002182,3.827073,-2.707693,-2.704606
0.144000,0.002210,3.811297,-2.696557,-2.693431
0.145000,0.002239,3.795429,-2.685357,-2.682191
0.146000,0.002267,3.779471,-2.674092,-2.670887
0.147000,0.002295,3.763422,-2.662764,-2.659518
0.148000,0.002324,3.747283,-2.651373,-2.648086
0.149000,0.002352,3.731055,-2.639918,-2.636591
0.150000,0.002381,3.714738,-2.628400,-2.625033
0.151000,0.002410,3.698332,-2.616819,-2.613411
0.152000,0.002439,3.681837,-2.605176,-2.601727
0.153000,0.002468,3.665254,-2.593471,-2.589981
0.154000,0.002497,3.648584,-2.581704,-2.578173
0.155000,0.002526,3.631827,-2.569876,-2.566303
0.156000,0.002556,3.614983,-2.557986,-2.554371
0.157000,0.002585,3.598052,-2.546035,-2.542379
0.158000,0.002615,3.581035,-2.534024,-2.530325
0.159000,0.002645,3.563933,-2.521951,-2.518211
0.160000,0.002675,3.546746,-2.509819,-2.506037
0.161000,0.002704,3.529474,-2.497627,-2.493802
0.162000,0.002735,3.512117,-2.485375,-2.481508
0.163000,0.002765,3.494677,-2.473064,-2.469155
0.164000,0.002795,3.477153,-2.460695,-2.456742
0.165000,0.002825,3.459546,-2.448266,-2.444270
0.166000,0.002856,3.441856,-2.435779,-2.431740
0.167000,0.002886,3.424084,-2.423234,-2.419152
0.168000,0.002917,3.406230,-2.410631,-2.406506
0.169000,0.002947,3.388295,-2.397970,-2.393802
0.170000,0.002978,3.370278,-2.385253,-2.381041
0.171000,0.003009,3.352182,-2.372478,-2.368223
0.172000,0.003040,3.334005,-2.359647,-2.355348
0.173000,0.003071,3.315748,-2.346759,-2.342416
0.174000,0.003102,3.297412,-2.333816,-2.329429
0.175000,0.003133,3.278997,-2.320817,-2.316386
0.176000,0.003164,3.260504,-2.307762,-2.303287
0.177000,0.003196,3.241933,-2.294653,-2.290133
0.178000,0.003227,3.223285,-2.281488,-2.276925
0.179000,0.003259,3.204559,-2.268270,-2.263661
0.180000,0.003290,3.185757,-2.254997,-2.250344
0.181000,0.003322,3.166879,-2.241670,-2.236973
0.182000,0.003353,3.147925,-2.228290,-2.223548
0.183000,0.003385,3.128896,-2.214857,-2.210070
0.184000,0.003417,3.109792,-2.201371,-2.196539
0.185000,0.003449,3.090614,-2.187832,-2.182955
0.186000,0.003481,3.071361,-2.174242,-2.169319
0.187000,0.003513,3.052036,-2.160599,-2.155631
0.188000,0.003545,3.032637,-2.146905,-2.141892
0.189000,0.003577,3.013166,-2.133160,-2.128101
0.190000,0.003609,2.993623,-2.119363,-2.114259
0.191000,0.003641,2.974009,-2.105516,-2.100367
0.192000,0.003674,2.954323,-2.091619,-2.086424
0.193000,0.003706,2.934567,-2.077672,-2.072432
0.194000,0.003738,2.914740,-2.063676,-2.058389
0.195000,0.003771,2.894844,-2.049630,-2.044298
0.196000,0.003803,2.874879,-2.035536,-2.030157
0.197000,0.003836,2.854845,-2.021392,-2.015968
0.198000,0.003868,2.834743,-2.007201,-2.001731
0.199000,0.003901,2.814573,-1.992962,-1.987445
0.200000,0.003933,2.794335,-1.978675,-1.973112
0.201000,0.003966,2.774031,-1.964341,-1.958732
0.202000,0.003999,2.753661,-1.949960,-1.944305
0.203000,0.004031,2.733225,-1.935532,-1.929831
