time,theta1,omega1,theta2,omega2,lensX,lensY
0,5,5,-5,-5,0,7.07107
0.033,4.93494,4.93494,-4.93494,-4.93494,0,6.97907
0.066,4.74147,4.74147,-4.74147,-4.74147,0,6.70545
0.099,4.42461,4.42461,-4.42461,-4.42461,0,6.25735
0.132,3.99262,3.99262,-3.99262,-3.99262,0,5.64641
0.165,3.45673,3.45673,-3.45673,-3.45673,0,4.88855
0.198,2.83088,2.83088,-2.83088,-2.83088,0,4.00347
0.231,2.13137,2.13137,-2.13137,-2.13137,0,3.01421
0.264,1.3764,1.3764,-1.3764,-1.3764,0,1.94652
0.297,0.585609,0.585609,-0.585609,-0.585609,0,0.828176
0.33,-0.22042,-0.22042,0.22042,0.22042,0,-0.311721
0.363,-1.02071,-1.02071,1.02071,1.02071,0,-1.44351
0.396,-1.79444,-1.79444,1.79444,1.79444,0,-2.53773
0.429,-2.52148,-2.52148,2.52148,2.52148,0,-3.56591
0.462,-3.1829,-3.1829,3.1829,3.1829,0,-4.5013
0.495,-3.7615,-3.7615,3.7615,3.7615,0,-5.31956
0.528,-4.24221,-4.24221,4.24221,4.24221,0,-5.99939
0.561,-4.61253,-4.61253,4.61253,4.61253,0,-6.52311
0.594,-4.86282,-4.86282,4.86282,4.86282,0,-6.87707
0.627,-4.98658,-4.98658,4.98658,4.98658,0,-7.05208
0.66,-4.98057,-4.98057,4.98057,4.98057,0,-7.04358
0.693,-4.84495,-4.84495,4.84495,4.84495,0,-6.85179
0.726,-4.58326,-4.58326,4.58326,4.58326,0,-6.48171
0.759,-4.2023,-4.2023,4.2023,4.2023,0,-5.94295
0.792,-3.71199,-3.71199,3.71199,3.71199,0,-5.24954
0.825,-3.12508,-3.12508,3.12508,3.12508,0,-4.41953
0.858,-2.45685,-2.45685,2.45685,2.45685,0,-3.47452
0.891,-1.72469,-1.72469,1.72469,1.72469,0,-2.43909
0.924,-0.947653,-0.947653,0.947653,0.947653,0,-1.34018
0.957,-0.145952,-0.145952,0.145952,0.145952,0,-0.206408
0.99,0.659546,0.659546,-0.659546,-0.659546,0,0.932739
1.023,1.44788,1.44788,-1.44788,-1.44788,0,2.04761
1.056,2.19854,2.19854,-2.19854,-2.19854,0,3.10921
1.089,2.89199,2.89199,-2.89199,-2.89199,0,4.08989
1.122,3.51018,3.51018,-3.51018,-3.51018,0,4.96415
1.155,4.03703,4.03703,-4.03703,-4.03703,0,5.70922
1.188,4.45883,4.45883,-4.45883,-4.45883,0,6.30573
1.221,4.76459,4.76459,-4.76459,-4.76459,0,6.73815
1.254,4.94638,4.94638,-4.94638,-4.94638,0,6.99523
1.287,4.99944,4.99944,-4.99944,-4.99944,0,7.07028
1.32,4.92242,4.92242,-4.92242,-4.92242,0,6.96135
1.353,4.71729,4.71729,-4.71729,-4.71729,0,6.67126
1.386,4.38942,4.38942,-4.38942,-4.38942,0,6.20757
1.419,3.94732,3.94732,-3.94732,-3.94732,0,5.58235
1.452,3.4025,3.4025,-3.4025,-3.4025,0,4.81186
1.485,2.76915,2.76915,-2.76915,-2.76915,0,3.91616
1.518,2.06373,2.06373,-2.06373,-2.06373,0,2.91855
1.551,1.30461,1.30461,-1.30461,-1.30461,0,1.845
1.584,0.511541,0.511541,-0.511541,-0.511541,0,0.723428
1.617,-0.294838,-0.294838,0.294838,0.294838,0,-0.416964
1.65,-1.09355,-1.09355,1.09355,1.09355,0,-1.54651
1.683,-1.8638,-1.8638,1.8638,1.8638,0,-2.63581
1.716,-2.58555,-2.58555,2.58555,2.58555,0,-3.65652
1.749,-3.24002,-3.24002,3.24002,3.24002,0,-4.58207
1.782,-3.81017,-3.81017,3.81017,3.81017,0,-5.3884
1.815,-4.28118,-4.28118,4.28118,4.28118,0,-6.0545
1.848,-4.64078,-4.64078,4.64078,4.64078,0,-6.56306
1.881,-4.87962,-4.87962,4.87962,4.87962,0,-6.90082
1.914,-4.99148,-4.99148,4.99148,4.99148,0,-7.05902
1.947,-4.97345,-4.97345,4.97345,4.97345,0,-7.03352
1.98,-4.826,-4.826,4.826,4.826,0,-6.82499
2.013,-4.55297,-4.55297,4.55297,4.55297,0,-6.43887
2.046,-4.16145,-4.16145,4.16145,4.16145,0,-5.88519
2.079,-3.66165,-3.66165,3.66165,3.66165,0,-5.17836
2.112,-3.06657,-3.06657,3.06657,3.06657,0,-4.33678
2.145,-2.39168,-2.39168,2.39168,2.39168,0,-3.38235
2.178,-1.65456,-1.65456,1.65456,1.65456,0,-2.3399
2.211,-0.874383,-0.874383,0.874383,0.874383,0,-1.23656
2.244,-0.0714526,-0.0714526,0.0714526,0.0714526,0,-0.101049
2.277,0.733337,0.733337,-0.733337,-0.733337,0,1.0371
2.31,1.51904,1.51904,-1.51904,-1.51904,0,2.14825
2.343,2.26522,2.26522,-2.26522,-2.26522,0,3.20351
