time,theta1,omega1,theta2,omega2,lensX,lensY
0,5,5,0,0,-3.53553,3.53553
0.01,4.99488,4.99488,0.00112462,0.00112462,-3.53271,3.53112
0.02,4.97951,4.97951,0.00449385,0.00449385,-3.52423,3.51787
0.03,4.95395,4.95395,0.0100939,0.0100939,-3.51011,3.49583
0.04,4.91823,4.91823,0.0179018,0.0179018,-3.49038,3.46506
0.05,4.87245,4.87245,0.0278854,0.0278854,-3.46506,3.42562
0.06,4.81669,4.81669,0.0400037,0.0400037,-3.4342,3.37762
0.07,4.75107,4.75107,0.0542068,0.0542068,-3.39784,3.32118
0.08,4.67574,4.67574,0.0704361,0.0704361,-3.35605,3.25644
0.09,4.59086,4.59086,0.0886243,0.0886243,-3.30889,3.18356
0.1,4.49661,4.49661,0.108696,0.108696,-3.25644,3.10272
0.11,4.39319,4.39319,0.130568,0.130568,-3.19878,3.01413
0.12,4.28083,4.28083,0.154148,0.154148,-3.136,2.918
0.13,4.15976,4.15976,0.179338,0.179338,-3.0682,2.81458
0.14,4.03024,4.03024,0.206032,0.206032,-2.9955,2.70413
0.15,3.89256,3.89256,0.234117,0.234117,-2.918,2.58691
0.16,3.74701,3.74701,0.263473,0.263473,-2.83584,2.46323
0.17,3.59389,3.59389,0.293974,0.293974,-2.74913,2.33339
0.18,3.43354,3.43354,0.325489,0.325489,-2.65803,2.19772
0.19,3.2663,3.2663,0.357882,0.357882,-2.56268,2.05656
0.2,3.09252,3.09252,0.391011,0.391011,-2.46323,1.91026
0.21,2.91258,2.91258,0.424729,0.424729,-2.35984,1.75918
0.22,2.72687,2.72687,0.458888,0.458888,-2.25267,1.6037
0.23,2.53577,2.53577,0.493332,0.493332,-2.1419,1.44422
0.24,2.33969,2.33969,0.527906,0.527906,-2.0277,1.28113
0.25,2.13906,2.13906,0.56245,0.56245,-1.91026,1.11483
0.26,1.9343,1.9343,0.596804,0.596804,-1.78976,0.945751
0.27,1.72584,1.72584,0.630804,0.630804,-1.6664,0.774306
0.28,1.51412,1.51412,0.664288,0.664288,-1.54037,0.600925
0.29,1.29961,1.29961,0.697092,0.697092,-1.41188,0.426042
0.3,1.08274,1.08274,0.729051,0.729051,-1.28113,0.250094
0.31,0.863978,0.863978,0.760004,0.760004,-1.14833,0.0735208
0.32,0.643789,0.643789,0.789787,0.789787,-1.01369,-0.103236
0.33,0.422636,0.422636,0.818241,0.818241,-0.877433,-0.279735
0.34,0.200985,0.200985,0.845208,0.845208,-0.73977,-0.455534
0.35,-0.0206973,-0.0206973,0.870533,0.870533,-0.600925,-0.630195
0.36,-0.241946,-0.241946,0.894065,0.894065,-0.461117,-0.803281
0.37,-0.462297,-0.462297,0.915655,0.915655,-0.320573,-0.974359
0.38,-0.681288,-0.681288,0.93516,0.93516,-0.179515,-1.143
0.39,-0.898462,-0.898462,0.952442,0.952442,-0.03817,-1.30879
0.4,-1.11337,-1.11337,0.967368,0.967368,0.103236,-1.4713
0.41,-1.32555,-1.32555,0.979811,0.979811,0.244477,-1.63014
0.42,-1.53458,-1.53458,0.989648,0.989648,0.385326,-1.7849
0.43,-1.74002,-1.74002,0.996767,0.996767,0.52556,-1.9352
0.44,-1.94144,-1.94144,1.00106,1.00106,0.664952,-2.08067
0.45,-2.13844,-2.13844,1.00243,1.00243,0.803281,-2.22093
0.46,-2.3306,-2.3306,1.00078,1.00078,0.940324,-2.35564
0.47,-2.51753,-2.51753,0.996032,0.996032,1.07586,-2.48447
0.48,-2.69886,-2.69886,0.98811,0.98811,1.20968,-2.60708
0.49,-2.87421,-2.87421,0.976949,0.976949,1.34156,-2.72318
0.5,-3.04323,-3.04323,0.962492,0.962492,1.4713,-2.83247
